id,video_filename,class
0,test_video_0000.mp4,normal
1,test_video_0001.mp4,normal
2,test_video_0002.mp4,driveway_walk
3,test_video_0003.mp4,ride_moto
4,test_video_0004.mp4,ride_moto
5,test_video_0005.mp4,fall_down
6,test_video_0006.mp4,driveway_walk
7,test_video_0007.mp4,ride_moto
8,test_video_0008.mp4,ride_moto
9,test_video_0009.mp4,fall_down
10,test_video_0010.mp4,fall_down
11,test_video_0011.mp4,driveway_walk
13,test_video_0013.mp4,driveway_walk
14,test_video_0014.mp4,ride_moto
15,test_video_0015.mp4,driveway_walk
16,test_video_0016.mp4,ride_moto
17,test_video_0017.mp4,driveway_walk
18,test_video_0018.mp4,normal
19,test_video_0019.mp4,driveway_walk
20,test_video_0020.mp4,ride_moto
21,test_video_0021.mp4,ride_moto
22,test_video_0022.mp4,ride_moto
23,test_video_0023.mp4,driveway_walk
24,test_video_0024.mp4,ride_moto
25,test_video_0025.mp4,fall_down
26,test_video_0026.mp4,normal
27,test_video_0027.mp4,putup_umbrella
28,test_video_0028.mp4,ride_moto
29,test_video_0029.mp4,normal
30,test_video_0030.mp4,driveway_walk
31,test_video_0031.mp4,driveway_walk
32,test_video_0032.mp4,driveway_walk
33,test_video_0033.mp4,ride_moto
34,test_video_0034.mp4,driveway_walk
35,test_video_0035.mp4,ride_moto
36,test_video_0036.mp4,ride_moto
37,test_video_0037.mp4,ride_moto
38,test_video_0038.mp4,driveway_walk
39,test_video_0039.mp4,fall_down
40,test_video_0040.mp4,driveway_walk
41,test_video_0041.mp4,driveway_walk
42,test_video_0042.mp4,fall_down
43,test_video_0043.mp4,ride_moto
44,test_video_0044.mp4,ride_moto
45,test_video_0045.mp4,driveway_walk
46,test_video_0046.mp4,driveway_walk
47,test_video_0047.mp4,driveway_walk
48,test_video_0048.mp4,driveway_walk
49,test_video_0049.mp4,driveway_walk
50,test_video_0050.mp4,driveway_walk
51,test_video_0051.mp4,driveway_walk
52,test_video_0052.mp4,ride_moto
53,test_video_0053.mp4,driveway_walk
54,test_video_0054.mp4,driveway_walk
55,test_video_0055.mp4,driveway_walk
56,test_video_0056.mp4,ride_moto
57,test_video_0057.mp4,ride_moto
58,test_video_0058.mp4,ride_moto
59,test_video_0059.mp4,driveway_walk
60,test_video_0060.mp4,ride_moto
61,test_video_0061.mp4,normal
62,test_video_0062.mp4,driveway_walk
63,test_video_0063.mp4,driveway_walk
64,test_video_0064.mp4,fighting
65,test_video_0065.mp4,ride_kick
66,test_video_0066.mp4,normal
67,test_video_0067.mp4,ride_moto
68,test_video_0068.mp4,putup_umbrella
69,test_video_0069.mp4,putup_umbrella
70,test_video_0070.mp4,jay_walk
71,test_video_0071.mp4,ride_moto
72,test_video_0072.mp4,ride_moto
73,test_video_0073.mp4,ride_moto
74,test_video_0074.mp4,fighting
75,test_video_0075.mp4,ride_moto
76,test_video_0076.mp4,ride_moto
77,test_video_0077.mp4,normal
78,test_video_0078.mp4,driveway_walk
79,test_video_0079.mp4,fall_down
